City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
129,Gizo,SB,-8.103,156.8419,81.72,75,51,5.73,broken clouds,2022-05-01 19:40:00
130,Zhanakorgan,KZ,43.9098,67.2495,71.49,40,100,5.53,overcast clouds,2022-05-01 19:40:01
131,Ambulu,ID,-8.345,113.6058,76.35,90,100,3.51,overcast clouds,2022-05-01 19:40:01
132,Katsuura,JP,35.1333,140.3,54.14,83,100,14.45,overcast clouds,2022-05-01 19:39:00
133,Grand Gaube,MU,-20.0064,57.6608,75.6,82,9,1.01,clear sky,2022-05-01 19:40:02
134,Zabol,AF,32.25,67.25,73.58,15,100,6.26,overcast clouds,2022-05-01 19:40:02
135,Owando,CG,-0.4819,15.8999,76.62,73,100,3.06,overcast clouds,2022-05-01 19:40:03
136,Port-Gentil,GA,-0.7193,8.7815,82.36,83,75,6.91,broken clouds,2022-05-01 19:40:03
137,Bambous Virieux,MU,-20.3428,57.7575,75.45,88,75,3.44,broken clouds,2022-05-01 19:40:04
138,Iqaluit,CA,63.7506,-68.5145,26.33,86,75,6.91,broken clouds,2022-05-01 19:40:04
139,Acapulco,MX,16.8634,-99.8901,85.82,62,0,9.22,clear sky,2022-05-01 19:40:05
140,Panzhihua,CN,26.5851,101.7128,53.64,81,100,2.59,overcast clouds,2022-05-01 19:40:05
141,Moshi,TZ,-3.35,37.3333,73.78,84,96,2.48,overcast clouds,2022-05-01 19:40:05
142,Barrow,US,71.2906,-156.7887,19.42,93,100,14.97,overcast clouds,2022-05-01 19:38:55
143,Damaturu,NG,11.747,11.9608,93.24,27,73,7.45,broken clouds,2022-05-01 19:40:06
144,Kapaa,US,22.0752,-159.319,78.78,81,40,20.71,scattered clouds,2022-05-01 19:40:06
145,Deputatskiy,RU,69.3,139.9,22.08,83,100,4.85,overcast clouds,2022-05-01 19:40:07
146,Panacan,PH,9.2463,118.4082,79.84,81,90,3.91,overcast clouds,2022-05-01 19:40:07
147,Bandipur,NP,27.9333,84.4167,62.31,76,100,1.88,overcast clouds,2022-05-01 19:40:08
148,Tezu,IN,27.9167,96.1667,71.1,70,100,3.42,overcast clouds,2022-05-01 19:40:08
149,Olinda,BR,-8.0089,-34.8553,80.33,83,75,6.91,broken clouds,2022-05-01 19:40:09
150,Leningradskiy,RU,69.3833,178.4167,10.2,78,44,6.96,scattered clouds,2022-05-01 19:40:09
151,Wolfville,CA,45.0835,-64.3655,44.17,82,100,12.66,moderate rain,2022-05-01 19:38:36
152,Mingrelskaya,RU,45.0134,38.3379,48.22,89,100,12.17,light rain,2022-05-01 19:40:10
153,Bredasdorp,ZA,-34.5322,20.0403,56.68,93,0,4.09,clear sky,2022-05-01 19:40:10
154,Saskylakh,RU,71.9167,114.0833,3.31,98,55,6.22,broken clouds,2022-05-01 19:34:16
155,Mandalay,MM,21.9747,96.0836,85.42,51,1,4.12,clear sky,2022-05-01 19:39:21
156,Grindavik,IS,63.8424,-22.4338,42.75,65,0,8.05,clear sky,2022-05-01 19:40:11
157,Nanortalik,GL,60.1432,-45.2371,37.92,85,100,4.32,overcast clouds,2022-05-01 19:40:11
158,Huancavelica,PE,-12.7667,-74.9833,50.94,52,66,9.06,broken clouds,2022-05-01 19:40:12
159,Bintulu,MY,3.1667,113.0333,77.41,100,20,3.44,few clouds,2022-05-01 19:40:12
160,Nikolskoye,RU,59.7035,30.7861,42.69,86,49,4.65,scattered clouds,2022-05-01 19:40:12
161,Nortelandia,BR,-14.4547,-56.8028,90.95,37,6,4.52,clear sky,2022-05-01 19:40:13
162,Nizhniy Odes,RU,63.6445,54.856,24.53,89,26,3.87,scattered clouds,2022-05-01 19:40:13
163,Kavieng,PG,-2.5744,150.7967,81.9,76,43,7.67,scattered clouds,2022-05-01 19:40:14
164,Husavik,IS,66.0449,-17.3389,28.45,74,100,10.76,overcast clouds,2022-05-01 19:40:14
165,Hokitika,NZ,-42.7167,170.9667,57.92,93,100,5.32,overcast clouds,2022-05-01 19:40:15
166,Moerai,PF,-22.4333,-151.3333,77.32,76,100,7.96,overcast clouds,2022-05-01 19:40:15
167,Kruisfontein,ZA,-34.0033,24.7314,55.89,92,0,5.14,clear sky,2022-05-01 19:40:15
168,Hamilton,US,39.1834,-84.5333,75.97,34,0,23.02,clear sky,2022-05-01 19:40:16
169,Cidreira,BR,-30.1811,-50.2056,65.64,74,100,8.55,overcast clouds,2022-05-01 19:40:16
170,Kodiak,US,57.79,-152.4072,42.31,81,100,24.16,light rain,2022-05-01 19:36:01
171,Bonavista,CA,48.6499,-53.1147,38.41,95,100,7.94,light rain,2022-05-01 19:40:17
172,Tiksi,RU,71.6872,128.8694,16.92,89,98,13.56,overcast clouds,2022-05-01 19:40:17
173,Mount Gambier,AU,-37.8333,140.7667,57.11,100,100,9.22,overcast clouds,2022-05-01 19:40:18
174,Harper,LR,4.375,-7.7169,80.76,81,100,8.72,overcast clouds,2022-05-01 19:40:18
175,Bethel,US,41.3712,-73.414,71.65,33,0,6.91,clear sky,2022-05-01 19:40:18
176,Saint George,US,37.1041,-113.5841,79.43,15,0,21.85,clear sky,2022-05-01 19:37:47
177,Fuerte Olimpo,PY,-21.0415,-57.8738,92.28,30,89,3.11,overcast clouds,2022-05-01 19:40:19
178,Coihaique,CL,-45.5752,-72.0662,54.21,66,75,4.61,broken clouds,2022-05-01 19:40:19
179,Norman Wells,CA,65.282,-126.8329,48.24,46,75,18.41,broken clouds,2022-05-01 19:40:20
180,Lakselv,NO,70.0513,24.9718,28.22,93,97,8.05,overcast clouds,2022-05-01 19:40:20
181,Hami,CN,42.8,93.45,62.19,11,4,5.32,clear sky,2022-05-01 19:40:21
182,Saldanha,ZA,-33.0117,17.9442,57.25,81,0,10.89,clear sky,2022-05-01 19:40:21
183,Sierra Vista,US,31.5545,-110.3037,85.69,8,0,20.71,clear sky,2022-05-01 19:40:21
184,Kenai,US,60.5544,-151.2583,48.25,51,0,9.22,clear sky,2022-05-01 19:40:22
185,Adrar,MR,20.5022,-10.0711,85.57,10,1,9.1,clear sky,2022-05-01 19:40:22
186,Luderitz,NA,-26.6481,15.1594,70.48,32,0,8.21,clear sky,2022-05-01 19:40:23
187,Abu Dhabi,AE,24.4667,54.3667,82.51,65,0,4.61,clear sky,2022-05-01 19:40:23
188,Romodanovo,RU,54.4275,45.3296,39.74,55,48,5.82,scattered clouds,2022-05-01 19:40:24
189,Carnarvon,AU,-24.8667,113.6333,62.67,82,0,4.61,clear sky,2022-05-01 19:40:24
190,Bria,CF,6.5423,21.9863,69.44,95,100,6.26,overcast clouds,2022-05-01 19:40:24
191,Tilichiki,RU,60.4667,166.1,16.11,91,34,6.98,scattered clouds,2022-05-01 19:40:25
192,Kismayo,SO,-0.3582,42.5454,81.12,81,100,14.16,light rain,2022-05-01 19:40:25
193,Todos Santos,MX,23.45,-110.2167,71.44,57,90,8.25,overcast clouds,2022-05-01 19:40:26
194,Chuy,UY,-33.6971,-53.4616,61.77,58,0,10.22,clear sky,2022-05-01 19:40:26
195,Qostanay,KZ,53.1667,63.5833,37.69,93,0,4.47,clear sky,2022-05-01 19:40:27
196,Gravdal,NO,68.1214,13.5031,40.89,93,75,12.66,light rain,2022-05-01 19:40:27
197,Klyuchi,RU,52.2667,79.1667,65.37,68,100,6.51,overcast clouds,2022-05-01 19:40:27
198,Saurimo,AO,-9.6608,20.3916,70.03,58,100,3.94,overcast clouds,2022-05-01 19:40:28
199,Broken Hill,AU,-31.95,141.4333,46.11,87,0,0.0,clear sky,2022-05-01 19:40:28
200,Cockburn Town,TC,21.4612,-71.1419,78.76,73,75,17.27,broken clouds,2022-05-01 19:40:29
201,Ponta Do Sol,PT,32.6667,-17.1,67.12,60,0,3.89,clear sky,2022-05-01 19:40:29
202,Bafoulabe,ML,13.8065,-10.8321,99.68,21,22,3.83,few clouds,2022-05-01 19:40:30
203,Fortuna,US,40.5982,-124.1573,61.93,71,0,12.66,clear sky,2022-05-01 19:40:30
204,Guymon,US,36.6828,-101.4816,77.0,20,20,23.02,few clouds,2022-05-01 19:40:30
205,Gerash,IR,27.6652,54.1371,77.14,37,0,8.08,clear sky,2022-05-01 19:40:31
206,Labuhan,ID,-6.8844,112.2051,79.11,87,100,10.09,overcast clouds,2022-05-01 19:40:31
207,Hervey Bay,AU,-25.2986,152.8535,67.01,95,100,11.99,light rain,2022-05-01 19:40:32
208,Haines Junction,CA,60.7522,-137.5108,40.95,60,100,4.61,overcast clouds,2022-05-01 19:40:32
209,Daoukro,CI,7.0591,-3.9631,80.6,73,100,3.29,overcast clouds,2022-05-01 19:40:33
210,Margate,GB,51.3813,1.3862,54.3,68,100,1.01,overcast clouds,2022-05-01 19:40:33
211,Sur,OM,22.5667,59.5289,84.11,57,0,8.23,clear sky,2022-05-01 19:40:33
212,Padang,ID,-0.9492,100.3543,77.25,88,100,4.21,overcast clouds,2022-05-01 19:40:34
213,Okha,RU,53.5739,142.9478,29.37,95,100,4.45,overcast clouds,2022-05-01 19:40:34
214,Port Moresby,PG,-9.4431,147.1797,74.62,94,40,4.41,scattered clouds,2022-05-01 19:35:50
215,Singaraja,ID,-8.112,115.0882,79.66,83,99,3.09,overcast clouds,2022-05-01 19:40:35
216,Corner Brook,CA,48.9667,-57.9484,39.36,99,100,4.0,overcast clouds,2022-05-01 19:39:40
217,Kortkeros,RU,61.8106,51.5806,32.18,80,91,4.21,overcast clouds,2022-05-01 19:40:35
218,Hauterive,FR,46.0901,3.4459,56.16,86,56,3.47,broken clouds,2022-05-01 19:40:36
219,Embonas,GR,36.2269,27.8564,60.93,80,79,11.59,broken clouds,2022-05-01 19:40:36
220,Vagay,RU,57.9375,69.0217,36.01,79,100,4.29,overcast clouds,2022-05-01 19:40:37
221,Otterup,DK,55.5153,10.3976,47.26,75,49,8.55,scattered clouds,2022-05-01 19:40:37
222,Hirado,JP,33.3597,129.5531,58.82,49,100,13.02,overcast clouds,2022-05-01 19:40:38
223,Georgetown,MY,5.4112,100.3354,82.33,93,20,2.3,few clouds,2022-05-01 19:37:04
224,Bubaque,GW,11.2833,-15.8333,77.94,76,22,18.19,few clouds,2022-05-01 19:40:38
