City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Name
351,351,Kulhudhuffushi,6.6221,73.07,85.12,72,100,10.6,MV,2022-04-30 20:41:10,Haajy Guest House 1
355,355,Grand Gaube,-20.0064,57.6608,77.4,81,4,13.8,MU,2022-04-30 20:41:12,Veranda Paul et Virginie Hotel & Spa
360,360,Salalah,17.0151,54.0924,86.09,79,40,5.75,OM,2022-04-30 20:36:24,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
364,364,Pandharpur,17.6667,75.3333,86.85,27,0,13.82,IN,2022-04-30 20:41:16,Pandharinath Lodge and Restaurant
370,370,Sonoita,31.85,-112.8333,89.33,8,82,10.85,MX,2022-04-30 20:41:19,Hotel internacional
371,371,Half Moon Bay,37.4636,-122.4286,75.88,74,100,20.71,US,2022-04-30 20:41:20,"The Ritz-Carlton, Half Moon Bay"
372,372,Coron,11.9986,120.2043,81.05,79,100,11.01,PH,2022-04-30 20:41:20,Coron Westown Resort
373,373,Mulatupo,8.9492,-77.7652,83.32,79,100,5.26,PA,2022-04-30 20:41:21,Playa Dil
378,378,Bathsheba,13.2167,-59.5167,84.81,74,20,14.97,BB,2022-04-30 20:42:24,Atlantis Hotel
380,380,Salinas,36.6777,-121.6555,79.0,66,0,13.8,US,2022-04-30 20:40:29,Laurel Inn & Conference Center
382,382,Dutse,11.7594,9.3392,89.65,20,96,7.0,NG,2022-04-30 20:42:25,Central Mosque Galamawa
388,388,Havelock,34.8791,-76.9013,75.2,64,0,3.44,US,2022-04-30 20:38:04,Sherwood Motel
394,394,Edd,13.9297,41.6925,86.29,65,64,10.74,ER,2022-04-30 20:42:30,Idi
402,402,Pascagoula,30.3658,-88.5561,85.41,67,20,9.22,US,2022-04-30 20:40:17,Regency Inn
405,405,Sainte-Rose,16.3324,-61.6979,82.44,74,40,12.66,GP,2022-04-30 20:42:34,Villa - Duzer
411,411,Labuan,5.2767,115.2417,77.36,94,20,0.0,MY,2022-04-30 20:42:36,Tiara Labuan Hotel
412,412,Ambon,-3.6954,128.1814,80.69,80,29,1.59,ID,2022-04-30 20:42:37,Swiss-Belhotel Ambon
413,413,Pitimbu,-7.4706,-34.8086,81.19,76,97,13.76,BR,2022-04-30 20:42:37,Reserva do Abiaí
414,414,Waingapu,-9.6567,120.2641,77.59,86,84,6.26,ID,2022-04-30 20:42:37,Pondok Wisata Elim
415,415,Puerto Baquerizo Moreno,-0.9,-89.6,79.79,69,20,11.5,EC,2022-04-30 20:40:11,Hotel los Algarrobos
418,418,Gizo,-8.103,156.8419,82.94,72,76,0.87,SB,2022-04-30 20:42:39,Imagination Island
423,423,San Patricio,28.017,-97.5169,87.19,59,75,16.35,US,2022-04-30 20:43:41,"Motel 6 Sinton, TX"
424,424,Bidar,17.9,77.55,89.33,18,69,9.1,IN,2022-04-30 20:40:11,Kaveri Hotel
427,427,Belmonte,-15.8631,-38.8828,76.06,80,16,6.17,BR,2022-04-30 20:43:42,Pousada Monte Carmelo O Pão
428,428,Colon,9.3592,-79.9014,84.11,79,100,8.99,PA,2022-04-30 20:43:43,Sand Diamond Hotel
431,431,Coari,-4.085,-63.1414,79.14,94,50,1.41,BR,2022-04-30 20:43:44,Dellrey Hotel Center
433,433,Uthal,25.8072,66.6219,85.96,58,2,5.53,PK,2022-04-30 20:43:45,Al-Mustafa Hotel
436,436,Acari,-15.4311,-74.6158,75.65,62,72,7.87,PE,2022-04-30 20:43:46,HOSPEDAJE XIMENA
442,442,Yanam,16.7333,82.2167,78.13,94,26,2.57,IN,2022-04-30 20:43:49,The Regency Hotel
447,447,Asaba,6.2006,6.7338,80.33,80,85,7.4,NG,2022-04-30 20:43:51,Crimson Suite Hotels
449,449,Healdsburg,38.6105,-122.8692,76.98,50,40,5.01,US,2022-04-30 20:39:57,Best Western Dry Creek Inn
456,456,Bud,39.447,-86.1758,78.82,60,100,15.39,US,2022-04-30 20:43:54,Ted McQuinn Trust
460,460,Limon,10.0,-83.0333,76.89,94,100,0.0,CR,2022-04-30 20:43:56,Hotel Playa Bonita
461,461,Honiara,-9.4333,159.95,80.33,83,82,1.74,SB,2022-04-30 20:43:56,Heritage Park Hotel
465,465,Adre,13.4667,22.2,84.31,12,35,6.24,TD,2022-04-30 20:44:58,Adre
467,467,Sur,22.5667,59.5289,88.48,53,93,1.63,OM,2022-04-30 20:44:58,Sur Plaza Hotel
470,470,San Dionisio Del Mar,16.3333,-94.75,86.31,63,10,13.42,MX,2022-04-30 20:45:00,San Dionisio del Mar
472,472,Sao Simao,-21.4792,-47.5508,82.85,60,99,6.29,BR,2022-04-30 20:45:00,Hotel São Simão
473,473,Abonnema,4.7084,6.7931,78.75,83,100,4.65,NG,2022-04-30 20:45:01,Corper's Lodge Obonoma
474,474,Jacareacanga,-6.2222,-57.7528,78.62,88,99,2.59,BR,2022-04-30 20:45:01,Casa do Ian😎
